latitude,longitude,month,temperature_max,temperature_min,humidity_mean,cloud_cover_mean,windspeed_max,windgusts_max,precipitation_total,precipitation_hours,sunshine_hours,solar_radiation_GHI,daylight_hours
33.448376,-112.074036,7,44.27,31.1,19.35,25.29,22.09,38.84,0.6,2.0,394.86,818.52,14.11
33.448376,-112.074036,8,41.29,29.06,30.45,33.42,21.44,37.18,23.1,21.0,356.02,715.73,13.36
33.448376,-112.074036,9,37.9,23.15,29.63,23.1,17.89,30.89,13.1,14.0,320.32,631.92,12.37
33.448376,-112.074036,10,33.17,18.23,24.81,7.06,15.96,28.0,0.1,1.0,320.02,549.28,11.34
33.448376,-112.074036,11,25.57,11.55,36.43,30.27,16.26,26.78,23.3,23.0,265.12,388.78,10.44
33.448376,-112.074036,12,20.28,6.8,50.06,38.55,13.53,22.26,37.0,35.0,254.98,330.86,9.98
39.9526,-75.1652,1,9.62,1.43,73.16,68.97,19.06,35.25,86.9,116.0,144.49,197.44,9.71
39.9526,-75.1652,2,10.07,0.02,63.43,63.96,22.23,41.32,52.3,64.0,194.77,299.09,10.7
39.9526,-75.1652,3,11.75,1.11,62.35,59.1,22.23,42.65,97.6,95.0,226.97,438.54,11.96
39.9526,-75.1652,4,20.22,8.65,62.4,59.8,20.9,40.24,168.6,117.0,273.13,555.82,13.28
39.9526,-75.1652,5,22.78,10.28,57.97,51.71,18.35,35.67,33.1,51.0,357.07,731.45,14.39
39.9526,-75.1652,6,27.69,15.66,61.57,52.4,18.86,38.04,86.3,113.0,318.69,651.32,14.96
39.9526,-75.1652,7,31.46,20.77,72.06,51.32,15.84,32.2,141.1,149.0,359.56,683.44,14.68
39.9526,-75.1652,8,29.57,19.5,65.52,55.29,17.09,34.34,67.0,72.0,319.45,614.56,13.71
39.9526,-75.1652,9,25.89,16.46,72.67,56.43,17.46,35.02,183.1,142.0,250.77,454.78,12.45
39.9526,-75.1652,10,20.66,10.53,70.74,42.9,16.75,31.86,44.4,69.0,257.43,386.41,11.14
39.9526,-75.1652,11,12.29,2.41,65.53,40.1,17.73,33.76,67.2,44.0,229.5,288.52,9.99
39.9526,-75.1652,12,9.6,1.78,75.23,62.13,15.89,30.1,173.0,107.0,155.19,182.17,9.39
37.773972,-122.431297,1,12.67,7.12,77.42,58.48,30.78,48.21,261.2,177.0,191.09,263.03,9.89
37.773972,-122.431297,2,11.56,5.5,77.93,53.82,28.79,45.98,88.4,121.0,216.25,336.77,10.81
37.773972,-122.431297,3,11.76,6.98,78.1,58.65,33.33,53.28,229.3,207.0,249.87,477.19,11.97
37.773972,-122.431297,4,13.38,8.31,80.03,43.4,30.34,48.66,3.7,15.0,343.57,710.5,13.19
37.773972,-122.431297,5,14.67,10.93,82.26,58.06,30.4,49.28,31.7,62.0,354.15,752.29,14.22
37.773972,-122.431297,6,16.3,11.91,80.2,59.7,31.81,52.44,1.4,12.0,371.48,799.63,14.73
37.773972,-122.431297,7,19.09,12.35,77.68,42.26,28.15,50.05,0.0,0.0,391.82,844.81,14.48
37.773972,-122.431297,8,20.84,13.88,79.84,56.1,27.71,48.95,0.2,1.0,354.26,714.8,13.58
37.773972,-122.431297,9,19.79,13.82,79.73,42.2,24.18,43.42,1.7,15.0,320.34,589.62,12.42
37.773972,-122.431297,10,21.74,12.63,71.84,39.0,21.49,38.54,11.2,34.0,292.35,465.74,11.21
37.773972,-122.431297,11,17.39,9.45,74.47,51.5,18.71,32.87,78.6,77.0,236.58,312.86,10.15
37.773972,-122.431297,12,14.58,8.53,84.68,73.94,17.74,30.39,174.5,155.0,173.26,219.66,9.6
47.608013,-122.335167,1,7.95,2.56,82.55,85.87,19.45,34.03,115.4,224.0,110.95,114.68,8.94
47.608013,-122.335167,2,7.34,1.57,77.89,82.57,21.74,39.11,63.9,164.0,139.37,177.03,10.27
47.608013,-122.335167,3,9.76,2.21,77.19,77.58,20.19,37.09,86.4,160.0,228.27,361.73,11.93
47.608013,-122.335167,4,11.56,4.74,80.9,77.53,21.34,39.07,129.3,244.0,211.96,404.87,13.66
47.608013,-122.335167,5,19.32,10.15,72.87,56.03,18.38,33.86,20.4,63.0,332.67,640.66,15.15
47.608013,-122.335167,6,20.95,11.35,69.6,50.67,17.82,34.04,33.1,87.0,345.03,689.6,15.92
47.608013,-122.335167,7,25.13,14.01,62.9,29.0,18.84,34.36,5.0,14.0,408.06,778.18,15.53
47.608013,-122.335167,8,25.26,15.37,66.23,36.84,18.65,33.88,29.6,62.0,347.35,624.62,14.22
47.608013,-122.335167,9,19.84,12.05,77.23,57.13,18.46,33.42,78.6,113.0,247.3,396.03,12.56
47.608013,-122.335167,10,15.15,8.44,84.13,61.94,16.82,29.54,85.6,121.0,193.54,257.43,10.84
47.608013,-122.335167,11,9.86,4.35,85.9,67.73,19.1,32.89,143.3,144.0,162.73,157.37,9.31
47.608013,-122.335167,12,9.32,4.19,86.13,88.68,19.46,33.2,216.1,221.0,89.41,82.63,8.5
32.715736,-117.161087,1,15.81,8.11,76.26,57.87,22.22,35.73,182.3,191.0,221.13,323.03,10.28
32.715736,-117.161087,2,15.97,6.86,68.39,46.25,22.5,37.36,76.3,108.0,244.28,412.67,11.03
32.715736,-117.161087,3,15.24,8.8,80.87,58.94,21.11,34.91,130.0,175.0,242.58,490.13,11.99
32.715736,-117.161087,4,17.82,10.91,77.67,50.6,19.63,35.17,5.3,30.0,298.98,685.04,13.0
32.715736,-117.161087,5,19.0,13.89,74.26,68.0,19.22,35.45,9.9,60.0,296.97,671.84,13.85
32.715736,-117.161087,6,20.49,15.3,74.93,57.73,19.36,36.11,5.8,43.0,301.51,706.14,14.27
32.715736,-117.161087,7,24.23,17.41,78.1,35.16,17.94,34.77,0.0,0.0,348.8,811.43,14.06
32.715736,-117.161087,8,25.07,18.39,80.03,37.29,19.73,36.69,40.8,33.0,334.74,733.88,13.32
32.715736,-117.161087,9,23.78,17.6,78.77,54.83,18.66,34.24,13.9,54.0,270.81,541.46,12.36
32.715736,-117.161087,10,24.36,14.63,71.52,25.0,18.01,32.46,3.9,24.0,300.32,491.59,11.36
32.715736,-117.161087,11,21.94,10.79,58.93,38.23,17.46,30.79,57.1,57.0,263.09,392.09,10.49
32.715736,-117.161087,12,19.3,9.41,69.0,49.13,16.06,27.97,48.4,47.0,253.32,342.75,10.04
32.779167,-96.808891,1,15.96,6.02,64.29,49.9,23.09,39.37,67.7,61.0,213.85,324.94,10.27
32.779167,-96.808891,2,16.52,5.73,67.39,63.43,26.98,44.71,133.6,111.0,185.41,351.13,11.02
32.779167,-96.808891,3,20.72,10.46,68.45,64.32,26.18,44.45,158.6,125.0,247.81,507.46,11.99
32.779167,-96.808891,4,22.88,12.81,68.1,55.77,24.33,41.36,139.2,99.0,261.66,574.29,13.0
32.779167,-96.808891,5,28.15,18.48,74.0,75.55,19.2,34.65,173.6,133.0,282.88,645.42,13.85
32.779167,-96.808891,6,33.05,22.77,72.7,45.9,22.39,39.59,168.6,118.0,329.16,705.24,14.27
32.779167,-96.808891,7,36.51,25.96,56.48,35.65,20.58,35.33,100.0,54.0,362.49,766.55,14.07
32.779167,-96.808891,8,39.86,28.19,39.84,24.87,20.95,35.78,6.3,11.0,379.91,762.67,13.33
32.779167,-96.808891,9,34.37,23.54,55.63,32.1,19.28,34.5,63.3,76.0,308.26,581.11,12.37
32.779167,-96.808891,10,26.3,16.33,60.29,48.58,22.53,39.35,249.4,119.0,260.97,460.49,11.36
32.779167,-96.808891,11,19.19,9.79,69.1,50.13,19.52,33.83,102.3,50.0,228.67,351.19,10.48
32.779167,-96.808891,12,16.26,6.27,64.1,38.23,21.15,35.43,75.6,67.0,230.14,324.53,10.03
