lat,lng
40.18082,-85.20025
15.18888,145.75349
-14.21984,-170.37005
69.73723,-162.83741
48.33188,-124.62816
22.18537,-159.40246
17.7388,-64.70695
31.84339,-107.70225
51.88145,-176.62962
62.76664,-141.67447
44.91373,-67.01834
48.93262,-101.2752
24.72328,-81.02155
55.08587,-162.2978
29.71338,-93.95306
35.29082,-120.8392
44.67716,-112.79359
70.21348,-150.98966
55.94605,-132.74233
35.25109,-75.54755
63.75375,-171.68811
59.39488,-151.62729
38.60719,-99.52436
47.63363,-91.51106
44.28861,-76.0258
31.79011,-85.59066
62.66843,-159.56298
37.08321,-113.26032
37.13665,-92.09794
56.58075,-169.61599
70.11882,-143.67029
42.99525,-105.39874
42.46142,-119.92486
29.63677,-101.01044
48.93007,-117.81753
46.63217,-85.13434
48.84762,-107.93725
64.83542,-147.62612
44.45927,-96.92022
61.84197,-165.58329
71.27434,-156.75394
37.16146,-105.34724
35.7729,-81.32704
57.51501,-157.31076
41.47838,-71.31993
65.38635,-153.53826
42.272,-90.3202
32.66488,-116.16828
33.74079,-97.53922
40.81194,-79.9826
19.45221,-154.98624
25.99587,-97.44991
39.30386,-123.73737
29.58057,-81.22455
40.58609,-109.92642
32.82216,-90.22757
39.79912,-75.5422
36.09717,-87.11484
48.91328,-96.63659
33.94322,-102.15916
59.56297,-135.33626
40.14292,-95.35546
43.77659,-124.14414
41.18096,-115.76076
67.08971,-157.87253
42.94069,-100.96897
60.73927,-146.4061
48.88965,-113.41403
32.79822,-111.82809
53.87869,-166.47125
65.94811,-165.80122
59.21186,-161.70123
37.34574,-117.34393
35.86087,-109.13995
46.34991,-120.81561
59.51819,-139.4869
43.41868,-82.85369
44.71743,-108.86781
61.44142,-155.90217
44.90218,-116.93608
29.17723,-89.23204
46.77178,-104.85183
33.7762,-93.85971
44.95987,-72.43833
44.41318,-93.25016
40.07457,-103.18878
45.42481,-88.63263
65.79284,-144.18282
30.09301,-97.49017
37.51017,-78.24919
38.95859,-89.13257
65.97654,-161.13918
36.69265,-95.65192
29.65332,-104.39724
38.75418,-120.41989
32.70979,-79.95115
62.45165,-150.425
46.04646,-99.7983
43.35105,-86.14455
67.25435,-149.87754
41.54445,-98.17041
38.76324,-82.41411
39.95523,-106.73888
34.65151,-84.35223
47.19087,-110.68378
33.77306,-105.36895
46.61641,-69.52178
70.63804,-159.97121
57.58454,-154.32545
40.09782,-92.40792
40.17921,-112.81371
36.84672,-102.17316
47.09744,-94.47416
42.26932,-74.05515
43.33529,-78.72335
32.1254,-82.79362
43.81499,-69.74804
32.15018,-99.81617
35.62668,-99.68783
35.55948,-89.82436
27.0918,-82.43408
35.35678,-115.43741
34.71759,-118.15079
63.47048,-162.25993
44.98737,-102.75985
55.98043,-130.03803
55.91828,-159.49335
37.35205,-84.72868
68.14208,-145.49557
48.79423,-121.93557
18.16307,-67.36122
47.26665,-115.72815
40.34309,-118.29831
59.77339,-158.69309
21.15536,-156.99513
41.15446,-87.62827
41.51214,-122.36253
33.42792,-87.5854
30.59473,-91.52981
34.79047,-78.4355
64.73808,-156.86351
27.51349,-99.50232
31.87513,-95.66704
38.28881,-111.04073
42.65777,-95.16391
42.91815,-110.99756
42.44566,-107.8775
46.23462,-123.31194
62.67463,-144.13884
64.93645,-150.66654
52.22888,-174.20613
37.22297,-122.33572
53.01329,-168.75359
59.9373,-164.06158
62.74385,-153.84293
31.54626,-102.88338
41.8618,-76.77687
38.87915,-115.08418
35.18953,-111.65469
48.89167,-103.74304
37.90014,-107.92397
26.91401,-80.0799
68.29104,-166.04257
42.5626,-113.81699
41.06508,-82.87533
44.96312,-90.92761
40.60932,-100.73703
46.65544,-118.47686
38.55322,-97.19856
38.47232,-86.77772
57.23891,-135.2633
29.94808,-83.56762
31.15516,-87.99021
48.23099,-99.0554
37.52054,-75.93971
65.61191,-168.07732
59.86411,-154.01511
31.33835,-109.9431
43.89338,-121.85627
45.29922,-106.6006
60.13714,-149.47123
39.79997,-77.94305
42.3299,-103.18777
33.49535,-109.18864
46.73837,-97.08102
34.80418,-91.90619
38.27528,-93.98662
35.57537,-106.87832
13.26593,144.68915
42.24738,-92.91904
37.88729,-80.40827
47.43585,-87.81238
33.60992,-114.15835
46.66009,-113.66421
67.6004,-163.03459
43.7747,-98.95045
43.32508,-88.27124
42.85733,-117.50909
48.70422,-105.83496
44.42949,-119.19192
47.14095,-102.35867
35.9771,-97.62418
28.77467,-95.86638
48.31103,-119.80822
44.36917,-114.85619
31.36476,-105.68693
31.73425,-93.50536
35.82898,-93.69804
36.78853,-119.4378
68.14999,-151.71616
61.10509,-160.94865
35.44255,-104.21511
44.69296,-84.60578
33.79236,-81.66823
34.64717,-95.74679
70.36201,-149.0021
42.10121,-84.60149
39.1155,-104.90443
41.095,-104.93265
45.26118,-110.90674
62.11232,-163.66455
47.0106,-108.75808
27.94238,-97.6033
44.79324,-104.67241
45.10181,-95.04226
36.24492,-83.18441
48.61454,-93.3467
38.80499,-91.0413
65.14953,-142.43307
40.64945,-73.14123
61.28176,-142.79338
46.2057,-92.76581
37.0828,-88.76838
29.94805,-85.41812
64.32229,-158.74356
43.13092,-72.21505
30.34576,-99.31161
38.95066,-101.52523
33.4077,-119.43365
31.91784,-97.72049
48.94067,-111.21768
44.95223,-74.32214
41.86833,-124.15433
40.54992,-120.63064
40.4931,-90.05108
47.96242,-89.75529
36.16014,-79.58134
34.50676,-86.12609
33.05892,-92.22238
36.06796,-77.20675
33.94146,-100.22159
45.95852,-86.86516
47.03521,-106.64069
31.05306,-89.85768
63.83208,-152.49481
35.39511,-113.59784
37.92266,-103.51528
39.57692,-122.0367
63.68849,-148.88742
61.69166,-147.81997
46.9582,-67.85718
48.86277,-115.14514
41.54798,-96.44871
45.32923,-70.62715
38.96824,-109.23876
34.39309,-80.07595
31.44909,-81.25132
58.39785,-134.05472
32.81091,-103.99923
61.84391,-158.10825
57.92512,-152.4231
49.09907,-94.97591
36.67546,-110.61259
64.682,-163.4067
32.98647,-84.25255
38.94633,-84.06831
38.50993,-118.77958
43.04962,-115.86554
41.69255,-78.54998
37.26924,-90.43474
37.24489,-100.57358
44.58366,-101.07399
43.56422,-91.78455
41.30359,-111.62178
60.8062,-152.67734
39.83135,-98.44777
66.32218,-146.96636
60.37041,-166.2672
40.0537,-81.43318
39.2641,-79.51892
45.18229,-68.78244
59.0683,-156.90093
34.04792,-89.06705
67.70759,-143.95132
40.85625,-93.82091
41.7461,-81.28512
41.64509,-106.43721
46.00169,-83.66277
37.44915,-98.41941
64.09938,-160.32776
46.4335,-90.22603
33.40339,-107.36566
60.87848,-162.52725
38.35941,-95.61815
47.49662,-100.46281
45.28577,-98.27526
30.30897,-95.43281
41.69376,-86.14602
37.27411,-81.90253
35.94649,-85.43781
46.3579,-112.02772
35.33633,-101.45226
28.64627,-82.51324
42.91782,-97.44702
62.98268,-156.08383
32.11036,-101.36683
43.89073,-89.80708
43.92096,-107.31087
43.1639,-109.24974
42.82093,-75.54453
34.16146,-116.55002
60.74777,-150.89
66.07222,-162.74349
38.85618,-117.06987
38.3991,-106.47763
40.1034,-96.94496
62.42192,-146.4813
40.84711,-114.18217
36.71387,-114.74777
31.36512,-84.11445
47.28851,-122.13123
38.62972,-76.97473
41.32774,-75.23577
42.36957,-99.50258
41.33218,-91.54704
45.38738,-122.03671
55.12617,-131.48928
64.98311,-146.13946
38.72183,-112.48706
67.73299,-164.52122
32.46392,-88.72465
28.92848,-98.84668
39.96209,-86.74542
47.52005,-117.27197
37.31636,-120.85683
29.36598,-90.70554
59.13496,-155.42696
41.92106,-88.88982
44.7239,-120.63489
34.73882,-82.79646
45.73798,-115.39367
66.0232,-149.07982
43.72561,-103.63733
38.62038,-92.56314
47.66403,-95.88349
48.69591,-109.78556
37.52687,-109.42054
28.14695,-80.99968
46.76738,-98.54076
43.69035,-73.54836
64.0281,-144.6331
41.09713,-102.08834
43.0252,-112.42813
66.73615,-151.47757
43.23997,-77.17224
35.37222,-88.35109
40.37644,-108.50983
34.14844,-110.4588
39.76574,-111.44752
30.75399,-86.59491
34.2469,-90.47663
30.0151,-103.02301
65.18392,-152.06673
34.68833,-76.88129
37.64998,-83.33665
33.29279,-96.19918
46.25777,-101.19276
33.25173,-98.93643
18.40628,-65.94767
41.75534,-69.94002
64.85078,-164.80261
47.83957,-112.48266
36.06844,-91.15619
45.88011,-107.87245
44.61987,-87.49399
35.31756,-119.4092
42.80159,-123.11931
34.74802,-98.50201
44.87261,-85.99292
34.19209,-112.89444
42.93941,-70.83697
25.98902,-81.58517
33.08985,-86.06057
37.23524,-86.17206
46.10282,-109.78662
31.95051,-91.35591
46.29444,-95.708
42.17109,-79.82907
42.51504,-121.2881
32.07872,-86.97602
40.23889,-88.66411
56.94253,-158.60474
47.94945,-97.6906
61.85447,-151.82056
35.2824,-102.8023
43.23609,-93.91084
55.27131,-160.67431
46.16001,-103.42168
48.01639,-123.31951
38.54568,-85.43665
40.61118,-123.43151
40.96171,-99.37797
41.70197,-109.18399
43.43593,-102.20738
30.36999,-82.29741
30.50568,-92.88387
34.66247,-108.55075
40.43192,-116.97134
39.62188,-74.22421
48.83203,-116.49248
46.2283,-116.90608
43.4218,-84.22686
34.23626,-103.6645
35.49323,-105.53767
37.25099,-96.96503
38.56311,-75.07085
44.64994,-123.13474
40.49448,-76.81788
45.87867,-119.54676
36.45914,-107.96408
33.47678,-117.70459
36.88419,-106.63552
61.607,-149.41443
41.90708,-72.76839
