latitude,longitude
40.18082,-85.20025
15.18888,145.75349
-14.21984,-170.37005
69.73723,-162.83741
48.33188,-124.62816
22.18537,-159.40246
17.7388,-64.70695
31.84339,-107.70225
51.88145,-176.62962
62.76664,-141.67447
